id,source_id,annee,session,zone,numero,points,thematique_id,domaine_id,difficulte,nb_questions_corrige,titre
ex-2021-jour-1-me-21matj1me2page1-exercice-1,2021-jour-1-me-21matj1me2page1,2021,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",1,4,derivation-convexite,analyse,1,4,commun à tous les candidats
ex-2021-jour-1-me-21matj1me2page1-exercice-2,2021-jour-1-me-21matj1me2page1,2021,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",2,5,bernoulli-binomiale,probabilites,2,7,commun à tous les candidats
ex-2021-jour-1-me-21matj1me2page1-exercice-a,2021-jour-1-me-21matj1me2page1,2021,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",A,5,geometrie-orthogonalite-distances,algebre-geometrie,3,6,Exercice A au choix
ex-2021-jour-1-me-21matj1me2page1-exercice-b,2021-jour-1-me-21matj1me2page1,2021,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",B,5,primitives-equations-differentielles,analyse,2,6,Exercice B au choix
ex-2021-jour-2-me-21matj2me3page1-exercice-1,2021-jour-2-me-21matj2me3page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",1,4,bernoulli-binomiale,probabilites,2,6,commun à tous les candidats
ex-2021-jour-2-me-21matj2me3page1-exercice-2,2021-jour-2-me-21matj2me3page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",2,5,geometrie-reperage,algebre-geometrie,2,5,commun à tous les candidats
ex-2021-jour-2-me-21matj2me3page1-exercice-a,2021-jour-2-me-21matj2me3page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",A,5,suites,analyse,3,9,Exercice A au choix
ex-2021-jour-2-me-21matj2me3page1-exercice-b,2021-jour-2-me-21matj2me3page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",B,5,logarithme,analyse,2,8,Exercice B au choix
ex-2021-jour-2-me-21matj2me2page1-exercice-1,2021-jour-2-me-21matj2me2page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",1,4,geometrie-reperage,algebre-geometrie,1,4,commun à tous les candidats
ex-2021-jour-2-me-21matj2me2page1-exercice-2,2021-jour-2-me-21matj2me2page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",2,6,bernoulli-binomiale,probabilites,2,11,commun à tous les candidats
ex-2021-jour-2-me-21matj2me2page1-exercice-a,2021-jour-2-me-21matj2me2page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",A,5,logarithme,analyse,3,7,Exercice A au choix
