id,status,old_title,new_title,theme,reason,error
ex-2021-jour-2-me-21matj2me2page1-exercice-b,ok,Exercice B au choix,Convexité et point d'inflexion d'une exponentielle,derivation-convexite,"Le titre met en avant les deux notions centrales de l'exercice (convexité, point d'inflexion) et précise le type de fonction étudié (exponentielle), ce qui est discriminant et concret pour un élève cherchant à s'entraîner sur ces notions.",
ex-2021-jour-2-me-21matj2me3page1-exercice-1,ok,commun à tous les candidats,Filtrage de spams par arbre et loi binomiale,bernoulli-binomiale,"Le contexte concret (spam), les méthodes clés (arbre pondéré, Bayes, loi binomiale) sont mentionnés en 7 mots, ce qui est informatif et discriminant.",
ex-2021-jour-2-me-21matj2me3page1-exercice-2,ok,commun à tous les candidats,QCM géométrie dans l'espace et droites paramétrées,geometrie-reperage,"L'exercice est un QCM portant sur la géométrie de l'espace : appartenance à une droite paramétrée, vecteurs, équation de plan. Le titre mentionne le format QCM, l'objet central (droites paramétrées) et le domaine (géométrie dans l'espace), ce qui est discriminant et concret.",
ex-2021-jour-2-me-21matj2me3page1-exercice-3,ok,commun à tous les candidats (sur 6 points),Distance à l'origine et tangente perpendiculaire,derivation-convexite,"L'exercice porte sur la minimisation d'une distance à l'origine sur la courbe de g(x)=e^{-x} et la perpendicularité d'une tangente, ce qui est le cœur discriminant de l'exercice et aide l'élève à l'identifier rapidement.",
ex-2021-jour-2-me-21matj2me3page1-exercice-a,ok,Exercice A au choix,"Suites couplées, suite auxiliaire géométrique et convergence",suites,"Le titre mentionne les deux suites couplées (objet central), la suite auxiliaire géométrique (méthode clé) et la convergence (objectif final), ce qui est discriminant et informatif pour un élève cherchant cet exercice.",
ex-2021-jour-2-me-21matj2me3page1-exercice-b,ok,Exercice B au choix,Variations et équations avec $(\ln x)^2 - \ln x$,logarithme,"Le titre identifie l'objet mathématique central (la fonction composée du logarithme au carré) et les deux grandes tâches de l'exercice : étude des variations et résolution d'équations, ce qui est discriminant et concret pour un élève.",
ex-2021-jour-2-po-21matj2po1page1-exercice-1,ok,commun à tous les candidats,Suite récurrente et dynamique de population animale,suites,"Le titre mentionne l'objet mathématique central (suite récurrente) et le contexte applicatif (population animale), ce qui est discriminant et concret pour un élève cherchant cet exercice.",
ex-2021-jour-2-po-21matj2po1page1-exercice-2,ok,commun à tous les candidats,"Test médical, Bayes et seuil binomial",bernoulli-binomiale,"Le titre mentionne le contexte (test médical), la notion clé de probabilités conditionnelles (Bayes) et la conclusion de l'exercice (recherche d'un seuil avec la loi binomiale), ce qui est discriminant et informatif pour un élève.",
ex-2021-jour-2-po-21matj2po1page1-exercice-3,ok,commun à tous les candidats,"Cube, plan et volume d'une pyramide",geometrie-orthogonalite-distances,"L'exercice porte sur un cube avec repère orthonormé, l'étude d'un plan (vecteur normal, équation cartésienne, projeté orthogonal) et le calcul du volume d'une pyramide. Ces trois éléments sont les plus discriminants et concrets pour aider l'élève à identifier l'exercice.",
ex-2021-jour-2-po-21matj2po1page1-exercice-a,ok,Exercice A au choix,Équation différentielle et étude de $(x+2)e^{-x}$,primitives-equations-differentielles,"Le titre mentionne les deux axes principaux de l'exercice : la résolution d'une équation différentielle du premier ordre et l'étude complète de la fonction f(x)=(x+2)e^{-x}, ce qui est concret et discriminant pour un élève cherchant à s'entraîner sur ces notions.",
